SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,DOLLARS PER SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,NUM_UNITS,Association Heat,Association Water,Pool,Other Extras,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,1122 Washington Blvd Unit 1B,Oak Park,IL,60302,149900.00,1.00,1.00,Oak Park,,,1925.00,9.00,,209.00,Active,,,,,,,,http://www.redfin.com/IL/Oak-Park/1122-Washington-Blvd-60302/unit-1B/home/17238621,MRED,10890609,N,Y,41.8819449,-87.8034712
MLS Listing,,Condo/Co-op,425 Home Ave Unit 3D,Oak Park,IL,60302,189900.00,2.00,2.00,Oak Park,1244.00,,1964.00,9.00,153.00,402.00,Active,,,30,TRUE,TRUE,FALSE,FALSE,http://www.redfin.com/IL/Oak-Park/425-Home-Ave-60302/unit-3D/home/13270015,MRED,10890603,N,Y,41.8805892,-87.8003859
MLS Listing,,Condo/Co-op,409 Washington Blvd #2,Oak Park,IL,60302,221000.00,3.00,1.00,Oak Park,1200.00,,1915.00,10.00,184.00,356.00,Active,October-11-2020 11:00 AM,October-11-2020 01:00 PM,6,TRUE,TRUE,FALSE,FALSE,http://www.redfin.com/IL/Oak-Park/409-Washington-Blvd-60302/unit-2/home/12590290,MRED,10889277,N,Y,41.88139,-87.785133
MLS Listing,,Condo/Co-op,439 S Taylor Ave Unit 2B-3B,Oak Park,IL,60302,110000.00,3.00,2.00,Oak Park,1520.00,,1927.00,10.00,72.00,,Active,,,,,,,,http://www.redfin.com/IL/Oak-Park/439-S-Taylor-Ave-60302/unit-2B-3B/home/168147391,MRED,10889249,N,Y,41.8804599,-87.778169
MLS Listing,,Condo/Co-op,247 Washington Blvd Unit 1B,Oak Park,IL,60302,192000.00,2.00,1.00,Oak Park,,,1923.00,10.00,,353.00,Active,,,,,,,,http://www.redfin.com/IL/Oak-Park/247-Washington-Blvd-60302/unit-1B/home/12650613,MRED,10889224,N,Y,41.881469,-87.7817029
MLS Listing,,Condo/Co-op,320 N Austin Blvd #5,Oak Park,IL,60302,132900.00,1.00,1.00,Oak Park,630.00,,1964.00,10.00,211.00,255.00,Active,,,8,TRUE,TRUE,FALSE,FALSE,http://www.redfin.com/IL/Oak-Park/320-N-Austin-Blvd-60302/unit-5/home/13266459,MRED,10888560,N,Y,41.8860705,-87.7753013
MLS Listing,,Condo/Co-op,430 Home Ave #309,Oak Park,IL,60302,125000.00,1.00,1.00,Oak Park,800.00,,1972.00,10.00,156.00,265.00,Active,,,59,TRUE,TRUE,FALSE,FALSE,http://www.redfin.com/IL/Oak-Park/430-Home-Ave-60302/unit-309/home/172926559,MRED,10888179,N,Y,41.8804182,-87.7995834
MLS Listing,,Condo/Co-op,407 S East Ave #3,Oak Park,IL,60302,139900.00,1.00,1.00,Oak Park,,,,11.00,,299.00,Active,,,,,,,,http://www.redfin.com/IL/Oak-Park/407-S-East-Ave-60302/unit-3/home/12663228,MRED,10887487,N,Y,41.8812101,-87.7895966
MLS Listing,,Condo/Co-op,331 S RIDGELAND Ave Unit A,Oak Park,IL,60302,299000.00,2.00,1.50,Oak Park,1523.00,,1905.00,11.00,196.00,417.00,Active,October-11-2020 10:00 AM,October-11-2020 12:00 PM,4,FALSE,TRUE,FALSE,FALSE,http://www.redfin.com/IL/Oak-Park/331-S-Ridgeland-Ave-60302/unit-A/home/12675513,MRED,10879881,N,Y,41.882164,-87.784859
MLS Listing,,Condo/Co-op,201 S Maple Ave #207,Oak Park,IL,60302,129000.00,1.00,1.00,Oak Park,,,1970.00,12.00,,218.00,Active,,,,,,,,http://www.redfin.com/IL/Oak-Park/201-S-Maple-Ave-60302/unit-207/home/13270044,MRED,10886217,N,Y,41.8850076,-87.8043807
